year_cat,Year,Taxa,Impact,Effect,Papers
2012-2015,2012,birds,disturbance,reduced_reprodution,0
2012-2015,2012,birds,disturbance,alteration_trophic_levels,0
2012-2015,2012,birds,disturbance,behavioural_change,0
2012-2015,2012,herpetofauna,direct,collision,0
2012-2015,2012,herpetofauna,direct,habitat_alteration,0
2012-2015,2012,herpetofauna,direct,invasive_spp,0
2012-2015,2012,herpetofauna,disturbance,increased_stress,0
2012-2015,2012,herpetofauna,disturbance,reduced_reprodution,0
2012-2015,2012,herpetofauna,disturbance,alteration_trophic_levels,0
2012-2015,2012,herpetofauna,disturbance,behavioural_change,0
2012-2015,2012,invertebrates,direct,collision,0
2012-2015,2012,invertebrates,direct,habitat_alteration,0
2012-2015,2012,invertebrates,direct,invasive_spp,0
2012-2015,2012,invertebrates,disturbance,increased_stress,0
2012-2015,2012,invertebrates,disturbance,reduced_reprodution,0
2012-2015,2012,invertebrates,disturbance,alteration_trophic_levels,0
2012-2015,2012,invertebrates,disturbance,behavioural_change,0
2012-2015,2012,mammals,direct,collision,0
2012-2015,2012,mammals,direct,habitat_alteration,1
2012-2015,2012,mammals,direct,invasive_spp,0
2012-2015,2012,mammals,disturbance,increased_stress,0
2012-2015,2012,mammals,disturbance,reduced_reprodution,0
2012-2015,2012,mammals,disturbance,alteration_trophic_levels,0
2012-2015,2012,mammals,disturbance,behavioural_change,0
2012-2015,2012,vegetation,direct,collision,0
2012-2015,2012,vegetation,direct,habitat_alteration,0
2012-2015,2012,vegetation,direct,invasive_spp,0
2012-2015,2012,vegetation,disturbance,increased_stress,0
2012-2015,2012,vegetation,disturbance,reduced_reprodution,0
2012-2015,2012,vegetation,disturbance,alteration_trophic_levels,0
2012-2015,2012,vegetation,disturbance,behavioural_change,0
2012-2015,2013,bats,direct,collision,0
2012-2015,2013,bats,direct,habitat_alteration,1
2012-2015,2013,bats,direct,invasive_spp,0
2012-2015,2013,bats,disturbance,increased_stress,0
2012-2015,2013,bats,disturbance,reduced_reprodution,0
2012-2015,2013,bats,disturbance,alteration_trophic_levels,0
2012-2015,2013,bats,disturbance,behavioural_change,0
2012-2015,2013,birds,direct,collision,0
2012-2015,2013,birds,direct,habitat_alteration,1
2012-2015,2013,birds,direct,invasive_spp,0
2012-2015,2013,birds,disturbance,increased_stress,0
2012-2015,2013,birds,disturbance,reduced_reprodution,0
2012-2015,2013,birds,disturbance,alteration_trophic_levels,0
2012-2015,2013,birds,disturbance,behavioural_change,0
2012-2015,2013,herpetofauna,direct,collision,0
2012-2015,2013,herpetofauna,direct,habitat_alteration,0
2012-2015,2013,herpetofauna,direct,invasive_spp,0
2012-2015,2013,herpetofauna,disturbance,increased_stress,0
2012-2015,2013,herpetofauna,disturbance,reduced_reprodution,0
2012-2015,2013,herpetofauna,disturbance,alteration_trophic_levels,0
2012-2015,2013,herpetofauna,disturbance,behavioural_change,0
2012-2015,2013,invertebrates,direct,collision,1
2012-2015,2013,invertebrates,direct,habitat_alteration,0
2012-2015,2013,invertebrates,direct,invasive_spp,0
2012-2015,2013,invertebrates,disturbance,increased_stress,0
2012-2015,2013,invertebrates,disturbance,reduced_reprodution,0
2012-2015,2013,invertebrates,disturbance,alteration_trophic_levels,0
2012-2015,2013,invertebrates,disturbance,behavioural_change,0
2012-2015,2013,mammals,direct,collision,0
2012-2015,2013,mammals,direct,habitat_alteration,1
2012-2015,2013,mammals,direct,invasive_spp,0
2012-2015,2013,mammals,disturbance,increased_stress,0
2012-2015,2013,mammals,disturbance,reduced_reprodution,0
2012-2015,2013,mammals,disturbance,alteration_trophic_levels,0
2012-2015,2013,mammals,disturbance,behavioural_change,0
2012-2015,2013,vegetation,direct,collision,0
2012-2015,2013,vegetation,direct,habitat_alteration,1
2012-2015,2013,vegetation,direct,invasive_spp,0
2012-2015,2013,vegetation,disturbance,increased_stress,0
2012-2015,2013,vegetation,disturbance,reduced_reprodution,0
2012-2015,2013,vegetation,disturbance,alteration_trophic_levels,0
2012-2015,2013,vegetation,disturbance,behavioural_change,0
2012-2015,2014,bats,direct,collision,1
2012-2015,2014,bats,direct,habitat_alteration,0
2012-2015,2014,bats,direct,invasive_spp,0
2012-2015,2014,bats,disturbance,increased_stress,0
2012-2015,2014,bats,disturbance,reduced_reprodution,0
2012-2015,2014,bats,disturbance,alteration_trophic_levels,0
2012-2015,2014,bats,disturbance,behavioural_change,0
2012-2015,2014,birds,direct,collision,2
2012-2015,2014,birds,direct,habitat_alteration,1
2012-2015,2014,birds,direct,invasive_spp,0
2012-2015,2014,birds,disturbance,increased_stress,0
2012-2015,2014,birds,disturbance,reduced_reprodution,0
2012-2015,2014,birds,disturbance,alteration_trophic_levels,0
2012-2015,2014,birds,disturbance,behavioural_change,0
2012-2015,2014,herpetofauna,direct,collision,0
2012-2015,2014,herpetofauna,direct,habitat_alteration,0
2012-2015,2014,herpetofauna,direct,invasive_spp,0
2012-2015,2014,herpetofauna,disturbance,increased_stress,0
2012-2015,2014,herpetofauna,disturbance,reduced_reprodution,0
2012-2015,2014,herpetofauna,disturbance,alteration_trophic_levels,0
2012-2015,2014,herpetofauna,disturbance,behavioural_change,0
2012-2015,2014,invertebrates,direct,collision,0
2012-2015,2014,invertebrates,direct,habitat_alteration,0
2012-2015,2014,invertebrates,direct,invasive_spp,0
2012-2015,2014,invertebrates,disturbance,increased_stress,0
2012-2015,2014,invertebrates,disturbance,reduced_reprodution,0
2012-2015,2014,invertebrates,disturbance,alteration_trophic_levels,0
2012-2015,2014,invertebrates,disturbance,behavioural_change,0
2012-2015,2014,mammals,direct,collision,0
2012-2015,2014,mammals,direct,habitat_alteration,0
2012-2015,2014,mammals,direct,invasive_spp,0
2012-2015,2014,mammals,disturbance,increased_stress,0
2012-2015,2014,mammals,disturbance,reduced_reprodution,0
2012-2015,2014,mammals,disturbance,alteration_trophic_levels,0
2012-2015,2014,mammals,disturbance,behavioural_change,0
2012-2015,2014,vegetation,direct,collision,0
2012-2015,2014,vegetation,direct,habitat_alteration,1
2012-2015,2014,vegetation,direct,invasive_spp,0
2012-2015,2014,vegetation,disturbance,increased_stress,0
2012-2015,2014,vegetation,disturbance,reduced_reprodution,0
2012-2015,2014,vegetation,disturbance,alteration_trophic_levels,0
2012-2015,2014,vegetation,disturbance,behavioural_change,0
2012-2015,2015,bats,direct,collision,3
2012-2015,2015,bats,direct,habitat_alteration,0
2012-2015,2015,bats,direct,invasive_spp,0
2012-2015,2015,bats,disturbance,increased_stress,0
2012-2015,2015,bats,disturbance,reduced_reprodution,0
2012-2015,2015,bats,disturbance,alteration_trophic_levels,0
2012-2015,2015,bats,disturbance,behavioural_change,0
2012-2015,2015,birds,direct,collision,2
2012-2015,2015,birds,direct,habitat_alteration,0
2012-2015,2015,birds,direct,invasive_spp,0
2012-2015,2015,birds,disturbance,increased_stress,0
2012-2015,2015,birds,disturbance,reduced_reprodution,1
2012-2015,2015,birds,disturbance,alteration_trophic_levels,0
2012-2015,2015,birds,disturbance,behavioural_change,0
2012-2015,2015,herpetofauna,direct,collision,0
2012-2015,2015,herpetofauna,direct,habitat_alteration,1
2012-2015,2015,herpetofauna,direct,invasive_spp,0
2012-2015,2015,herpetofauna,disturbance,increased_stress,0
2012-2015,2015,herpetofauna,disturbance,reduced_reprodution,0
2012-2015,2015,herpetofauna,disturbance,alteration_trophic_levels,0
2012-2015,2015,herpetofauna,disturbance,behavioural_change,0
2012-2015,2015,invertebrates,direct,collision,0
2012-2015,2015,invertebrates,direct,habitat_alteration,0
2012-2015,2015,invertebrates,direct,invasive_spp,1
2012-2015,2015,invertebrates,disturbance,increased_stress,0
2012-2015,2015,invertebrates,disturbance,reduced_reprodution,0
2012-2015,2015,invertebrates,disturbance,alteration_trophic_levels,0
2012-2015,2015,invertebrates,disturbance,behavioural_change,0
2012-2015,2015,mammals,direct,collision,0
2012-2015,2015,mammals,direct,habitat_alteration,0
2012-2015,2015,mammals,direct,invasive_spp,0
2012-2015,2015,mammals,disturbance,increased_stress,0
2012-2015,2015,mammals,disturbance,reduced_reprodution,0
2012-2015,2015,mammals,disturbance,alteration_trophic_levels,0
2012-2015,2015,mammals,disturbance,behavioural_change,0
2012-2015,2015,vegetation,direct,collision,0
2012-2015,2015,vegetation,direct,habitat_alteration,0
2012-2015,2015,vegetation,direct,invasive_spp,0
2012-2015,2015,vegetation,disturbance,increased_stress,0
2012-2015,2015,vegetation,disturbance,reduced_reprodution,0
2012-2015,2015,vegetation,disturbance,alteration_trophic_levels,0
2012-2015,2015,vegetation,disturbance,behavioural_change,0
2016-2019,2016,bats,direct,collision,3
2016-2019,2016,bats,direct,habitat_alteration,0
2016-2019,2016,bats,direct,invasive_spp,0
2016-2019,2016,bats,disturbance,increased_stress,0
2016-2019,2016,bats,disturbance,reduced_reprodution,0
2016-2019,2016,bats,disturbance,alteration_trophic_levels,0
2016-2019,2016,bats,disturbance,behavioural_change,0
2016-2019,2016,birds,direct,collision,4
2016-2019,2016,birds,direct,habitat_alteration,0
2016-2019,2016,birds,direct,invasive_spp,0
2016-2019,2016,birds,disturbance,increased_stress,0
2016-2019,2016,birds,disturbance,reduced_reprodution,0
2016-2019,2016,birds,disturbance,alteration_trophic_levels,0
2016-2019,2016,birds,disturbance,behavioural_change,0
2016-2019,2016,herpetofauna,direct,collision,0
2016-2019,2016,herpetofauna,direct,habitat_alteration,0
2016-2019,2016,herpetofauna,direct,invasive_spp,0
2016-2019,2016,herpetofauna,disturbance,increased_stress,0
2016-2019,2016,herpetofauna,disturbance,reduced_reprodution,0
2016-2019,2016,herpetofauna,disturbance,alteration_trophic_levels,0
2016-2019,2016,herpetofauna,disturbance,behavioural_change,0
2016-2019,2016,invertebrates,direct,collision,1
2016-2019,2016,invertebrates,direct,habitat_alteration,0
2016-2019,2016,invertebrates,direct,invasive_spp,0
2016-2019,2016,invertebrates,disturbance,increased_stress,0
2016-2019,2016,invertebrates,disturbance,reduced_reprodution,0
2016-2019,2016,invertebrates,disturbance,alteration_trophic_levels,1
2016-2019,2016,invertebrates,disturbance,behavioural_change,0
2016-2019,2016,mammals,direct,collision,0
2016-2019,2016,mammals,direct,habitat_alteration,1
2016-2019,2016,mammals,direct,invasive_spp,0
2016-2019,2016,mammals,disturbance,increased_stress,1
2016-2019,2016,mammals,disturbance,reduced_reprodution,0
2016-2019,2016,mammals,disturbance,alteration_trophic_levels,0
2016-2019,2016,mammals,disturbance,behavioural_change,0
2016-2019,2016,vegetation,direct,collision,0
2016-2019,2016,vegetation,direct,habitat_alteration,1
2016-2019,2016,vegetation,direct,invasive_spp,0
2016-2019,2016,vegetation,disturbance,increased_stress,0
2016-2019,2016,vegetation,disturbance,reduced_reprodution,0
2016-2019,2016,vegetation,disturbance,alteration_trophic_levels,0
2016-2019,2016,vegetation,disturbance,behavioural_change,0
2016-2019,2017,bats,direct,collision,4
2016-2019,2017,bats,direct,habitat_alteration,0
2016-2019,2017,bats,direct,invasive_spp,0
2016-2019,2017,bats,disturbance,increased_stress,0
2016-2019,2017,bats,disturbance,reduced_reprodution,1
2016-2019,2017,bats,disturbance,alteration_trophic_levels,0
2016-2019,2017,bats,disturbance,behavioural_change,0
2016-2019,2017,birds,direct,collision,1
2016-2019,2017,birds,direct,habitat_alteration,1
2016-2019,2017,birds,direct,invasive_spp,0
2016-2019,2017,birds,disturbance,increased_stress,0
2016-2019,2017,birds,disturbance,reduced_reprodution,0
2016-2019,2017,birds,disturbance,alteration_trophic_levels,0
2016-2019,2017,birds,disturbance,behavioural_change,0
2016-2019,2017,herpetofauna,direct,collision,0
2016-2019,2017,herpetofauna,direct,habitat_alteration,0
2016-2019,2017,herpetofauna,direct,invasive_spp,0
2016-2019,2017,herpetofauna,disturbance,increased_stress,0
2016-2019,2017,herpetofauna,disturbance,reduced_reprodution,0
2016-2019,2017,herpetofauna,disturbance,alteration_trophic_levels,1
2016-2019,2017,herpetofauna,disturbance,behavioural_change,0
2016-2019,2017,invertebrates,direct,collision,0
2016-2019,2017,invertebrates,direct,habitat_alteration,0
2016-2019,2017,invertebrates,direct,invasive_spp,0
2016-2019,2017,invertebrates,disturbance,increased_stress,0
2016-2019,2017,invertebrates,disturbance,reduced_reprodution,0
2016-2019,2017,invertebrates,disturbance,alteration_trophic_levels,0
2016-2019,2017,invertebrates,disturbance,behavioural_change,0
2016-2019,2017,mammals,direct,collision,0
2016-2019,2017,mammals,direct,habitat_alteration,1
2016-2019,2017,mammals,direct,invasive_spp,0
2016-2019,2017,mammals,disturbance,increased_stress,0
2016-2019,2017,mammals,disturbance,reduced_reprodution,0
2016-2019,2017,mammals,disturbance,alteration_trophic_levels,1
2016-2019,2017,mammals,disturbance,behavioural_change,0
2016-2019,2017,vegetation,direct,collision,0
2016-2019,2017,vegetation,direct,habitat_alteration,2
2016-2019,2017,vegetation,direct,invasive_spp,0
2016-2019,2017,vegetation,disturbance,increased_stress,0
2016-2019,2017,vegetation,disturbance,reduced_reprodution,0
2016-2019,2017,vegetation,disturbance,alteration_trophic_levels,0
2016-2019,2017,vegetation,disturbance,behavioural_change,0
2016-2019,2018,bats,direct,collision,2
2016-2019,2018,bats,direct,habitat_alteration,1
2016-2019,2018,bats,direct,invasive_spp,0
2016-2019,2018,bats,disturbance,increased_stress,0
2016-2019,2018,bats,disturbance,reduced_reprodution,0
2016-2019,2018,bats,disturbance,alteration_trophic_levels,0
2016-2019,2018,bats,disturbance,behavioural_change,0
2016-2019,2018,birds,direct,collision,2
2016-2019,2018,birds,direct,habitat_alteration,1
2016-2019,2018,birds,direct,invasive_spp,0
2016-2019,2018,birds,disturbance,increased_stress,0
2016-2019,2018,birds,disturbance,reduced_reprodution,0
2016-2019,2018,birds,disturbance,alteration_trophic_levels,0
2016-2019,2018,birds,disturbance,behavioural_change,0
2016-2019,2018,herpetofauna,direct,collision,0
2016-2019,2018,herpetofauna,direct,habitat_alteration,0
2016-2019,2018,herpetofauna,direct,invasive_spp,0
2016-2019,2018,herpetofauna,disturbance,increased_stress,0
2016-2019,2018,herpetofauna,disturbance,reduced_reprodution,0
2016-2019,2018,herpetofauna,disturbance,alteration_trophic_levels,1
2016-2019,2018,herpetofauna,disturbance,behavioural_change,0
2016-2019,2018,invertebrates,direct,collision,0
2016-2019,2018,invertebrates,direct,habitat_alteration,0
2016-2019,2018,invertebrates,direct,invasive_spp,0
2016-2019,2018,invertebrates,disturbance,increased_stress,0
2016-2019,2018,invertebrates,disturbance,reduced_reprodution,1
2016-2019,2018,invertebrates,disturbance,alteration_trophic_levels,0
2016-2019,2018,invertebrates,disturbance,behavioural_change,0
2016-2019,2018,mammals,direct,collision,0
2016-2019,2018,mammals,direct,habitat_alteration,2
2016-2019,2018,mammals,direct,invasive_spp,0
2016-2019,2018,mammals,disturbance,increased_stress,1
2016-2019,2018,mammals,disturbance,reduced_reprodution,0
2016-2019,2018,mammals,disturbance,alteration_trophic_levels,0
2016-2019,2018,mammals,disturbance,behavioural_change,0
2016-2019,2018,vegetation,direct,collision,0
2016-2019,2018,vegetation,direct,habitat_alteration,1
2016-2019,2018,vegetation,direct,invasive_spp,0
2016-2019,2018,vegetation,disturbance,increased_stress,0
2016-2019,2018,vegetation,disturbance,reduced_reprodution,0
2016-2019,2018,vegetation,disturbance,alteration_trophic_levels,0
2016-2019,2018,vegetation,disturbance,behavioural_change,0
2016-2019,2019,bats,direct,collision,1
2016-2019,2019,bats,direct,habitat_alteration,0
2016-2019,2019,bats,direct,invasive_spp,0
2016-2019,2019,bats,disturbance,increased_stress,0
2016-2019,2019,bats,disturbance,reduced_reprodution,0
2016-2019,2019,bats,disturbance,alteration_trophic_levels,0
2016-2019,2019,bats,disturbance,behavioural_change,0
2016-2019,2019,birds,direct,collision,1
2016-2019,2019,birds,direct,habitat_alteration,1
2016-2019,2019,birds,direct,invasive_spp,0
2016-2019,2019,birds,disturbance,increased_stress,0
2016-2019,2019,birds,disturbance,reduced_reprodution,0
2016-2019,2019,birds,disturbance,alteration_trophic_levels,0
2016-2019,2019,birds,disturbance,behavioural_change,0
2016-2019,2019,herpetofauna,direct,collision,0
2016-2019,2019,herpetofauna,direct,habitat_alteration,0
2016-2019,2019,herpetofauna,direct,invasive_spp,0
2016-2019,2019,herpetofauna,disturbance,increased_stress,0
2016-2019,2019,herpetofauna,disturbance,reduced_reprodution,2
2016-2019,2019,herpetofauna,disturbance,alteration_trophic_levels,0
2016-2019,2019,herpetofauna,disturbance,behavioural_change,0
2016-2019,2019,invertebrates,direct,collision,0
2016-2019,2019,invertebrates,direct,habitat_alteration,0
2016-2019,2019,invertebrates,direct,invasive_spp,0
2016-2019,2019,invertebrates,disturbance,increased_stress,0
2016-2019,2019,invertebrates,disturbance,reduced_reprodution,0
2016-2019,2019,invertebrates,disturbance,alteration_trophic_levels,0
2016-2019,2019,invertebrates,disturbance,behavioural_change,0
2016-2019,2019,mammals,direct,collision,0
2016-2019,2019,mammals,direct,habitat_alteration,1
2016-2019,2019,mammals,direct,invasive_spp,0
2016-2019,2019,mammals,disturbance,increased_stress,0
2016-2019,2019,mammals,disturbance,reduced_reprodution,0
2016-2019,2019,mammals,disturbance,alteration_trophic_levels,0
2016-2019,2019,mammals,disturbance,behavioural_change,0
2016-2019,2019,vegetation,direct,collision,0
2016-2019,2019,vegetation,direct,habitat_alteration,2
2016-2019,2019,vegetation,direct,invasive_spp,0
2016-2019,2019,vegetation,disturbance,increased_stress,0
2016-2019,2019,vegetation,disturbance,reduced_reprodution,0
2016-2019,2019,vegetation,disturbance,alteration_trophic_levels,0
2016-2019,2019,vegetation,disturbance,behavioural_change,0
2020-2021,2020,bats,direct,collision,6
2020-2021,2020,bats,direct,habitat_alteration,0
2020-2021,2020,bats,direct,invasive_spp,0
2020-2021,2020,bats,disturbance,increased_stress,0
2020-2021,2020,bats,disturbance,reduced_reprodution,0
2020-2021,2020,bats,disturbance,alteration_trophic_levels,0
2020-2021,2020,bats,disturbance,behavioural_change,0
2020-2021,2020,birds,direct,collision,4
2020-2021,2020,birds,direct,habitat_alteration,0
2020-2021,2020,birds,direct,invasive_spp,0
2020-2021,2020,birds,disturbance,increased_stress,0
2020-2021,2020,birds,disturbance,reduced_reprodution,0
2020-2021,2020,birds,disturbance,alteration_trophic_levels,0
2020-2021,2020,birds,disturbance,behavioural_change,0
2020-2021,2020,herpetofauna,direct,collision,0
2020-2021,2020,herpetofauna,direct,habitat_alteration,0
2020-2021,2020,herpetofauna,direct,invasive_spp,0
2020-2021,2020,herpetofauna,disturbance,increased_stress,1
2020-2021,2020,herpetofauna,disturbance,reduced_reprodution,0
2020-2021,2020,herpetofauna,disturbance,alteration_trophic_levels,0
2020-2021,2020,herpetofauna,disturbance,behavioural_change,0
2020-2021,2020,invertebrates,direct,collision,0
2020-2021,2020,invertebrates,direct,habitat_alteration,0
2020-2021,2020,invertebrates,direct,invasive_spp,0
2020-2021,2020,invertebrates,disturbance,increased_stress,0
2020-2021,2020,invertebrates,disturbance,reduced_reprodution,0
2020-2021,2020,invertebrates,disturbance,alteration_trophic_levels,1
2020-2021,2020,invertebrates,disturbance,behavioural_change,0
2020-2021,2020,mammals,direct,collision,0
2020-2021,2020,mammals,direct,habitat_alteration,0
2020-2021,2020,mammals,direct,invasive_spp,0
2020-2021,2020,mammals,disturbance,increased_stress,1
2020-2021,2020,mammals,disturbance,reduced_reprodution,0
2020-2021,2020,mammals,disturbance,alteration_trophic_levels,0
2020-2021,2020,mammals,disturbance,behavioural_change,0
2020-2021,2020,vegetation,direct,collision,0
2020-2021,2020,vegetation,direct,habitat_alteration,0
2020-2021,2020,vegetation,direct,invasive_spp,0
2020-2021,2020,vegetation,disturbance,increased_stress,0
2020-2021,2020,vegetation,disturbance,reduced_reprodution,0
2020-2021,2020,vegetation,disturbance,alteration_trophic_levels,0
2020-2021,2020,vegetation,disturbance,behavioural_change,0
2020-2021,2021,bats,direct,collision,4
2020-2021,2021,bats,direct,habitat_alteration,0
2020-2021,2021,bats,direct,invasive_spp,0
2020-2021,2021,bats,disturbance,increased_stress,0
2020-2021,2021,bats,disturbance,reduced_reprodution,0
2020-2021,2021,bats,disturbance,alteration_trophic_levels,0
2020-2021,2021,bats,disturbance,behavioural_change,0
2020-2021,2021,birds,direct,collision,2
2020-2021,2021,birds,direct,habitat_alteration,3
2020-2021,2021,birds,direct,invasive_spp,0
2020-2021,2021,birds,disturbance,increased_stress,0
2020-2021,2021,birds,disturbance,reduced_reprodution,0
2020-2021,2021,birds,disturbance,alteration_trophic_levels,0
2020-2021,2021,birds,disturbance,behavioural_change,1
2020-2021,2021,herpetofauna,direct,collision,0
2020-2021,2021,herpetofauna,direct,habitat_alteration,0
2020-2021,2021,herpetofauna,direct,invasive_spp,0
2020-2021,2021,herpetofauna,disturbance,increased_stress,0
2020-2021,2021,herpetofauna,disturbance,reduced_reprodution,0
2020-2021,2021,herpetofauna,disturbance,alteration_trophic_levels,0
2020-2021,2021,herpetofauna,disturbance,behavioural_change,0
2020-2021,2021,invertebrates,direct,collision,1
2020-2021,2021,invertebrates,direct,habitat_alteration,2
2020-2021,2021,invertebrates,direct,invasive_spp,0
2020-2021,2021,invertebrates,disturbance,increased_stress,0
2020-2021,2021,invertebrates,disturbance,reduced_reprodution,0
2020-2021,2021,invertebrates,disturbance,alteration_trophic_levels,0
2020-2021,2021,invertebrates,disturbance,behavioural_change,0
2020-2021,2021,mammals,direct,collision,0
2020-2021,2021,mammals,direct,habitat_alteration,1
2020-2021,2021,mammals,direct,invasive_spp,0
2020-2021,2021,mammals,disturbance,increased_stress,0
2020-2021,2021,mammals,disturbance,reduced_reprodution,0
2020-2021,2021,mammals,disturbance,alteration_trophic_levels,1
2020-2021,2021,mammals,disturbance,behavioural_change,0
2020-2021,2021,vegetation,direct,collision,0
2020-2021,2021,vegetation,direct,habitat_alteration,1
2020-2021,2021,vegetation,direct,invasive_spp,0
2020-2021,2021,vegetation,disturbance,increased_stress,0
2020-2021,2021,vegetation,disturbance,reduced_reprodution,0
2020-2021,2021,vegetation,disturbance,alteration_trophic_levels,0
2020-2021,2021,vegetation,disturbance,behavioural_change,0
